DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
gfx90a [0x989f];3;4;8;4;30000;0;25;4;1;3;1;1;-1;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;4;8;8;30000;0;9;4;1;2;1;0;-1;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;4;9;4;30000;0;20;4;1;4;1;1;0;0;1;0;1;0;2;0;1;0
gfx90a [0x989f];3;4;9;9;30000;0;26;4;1;3;1;1;-1;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;4;10;4;30000;0;20;4;1;4;1;0;-1;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;4;10;10;30000;0;25;4;1;2;1;0;0;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;4;11;4;30000;0;18;4;1;1;1;0;-1;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;4;11;11;30000;0;30;4;1;4;1;0;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;4;12;4;30000;0;20;4;1;3;1;-1;-2;0;1;0;1;0;2;2;0;0
gfx90a [0x989f];3;4;12;12;30000;0;40;4;1;4;1;1;-1;0;1;1;1;1;2;0;1;0
gfx90a [0x989f];3;4;16;4;30000;0;20;4;1;1;1;1;-1;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;4;16;16;30000;0;30;4;1;1;1;1;-1;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;4;23;4;30000;0;24;4;1;2;1;-2;-2;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;4;23;23;30000;0;25;4;1;1;1;-2;-1;0;0;0;1;0;0;1;0;0
gfx90a [0x989f];3;5;3;3;30000;0;18;5;1;5;1;0;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;5;3;5;30000;0;12;5;1;2;1;1;0;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;5;4;4;30000;0;24;5;1;4;1;0;0;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;5;4;5;30000;0;9;5;1;5;1;0;-1;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;5;5;3;30000;0;20;5;1;2;1;-1;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;5;5;4;30000;0;9;5;1;2;1;0;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;5;5;5;30000;0;10;5;1;2;1;0;-1;0;1;1;1;1;0;0;0;0
gfx90a [0x989f];3;5;5;6;30000;0;9;5;1;4;1;-2;-1;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;5;5;7;30000;0;20;5;1;2;1;0;1;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;5;5;8;30000;0;24;5;1;3;1;-1;-1;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;5;5;9;30000;0;25;5;1;5;1;0;0;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;5;5;10;30000;0;25;5;1;2;1;1;-1;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;5;5;11;30000;0;25;5;1;2;1;0;1;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;5;5;12;30000;0;12;5;1;3;1;-2;0;0;1;1;1;0;2;0;0;0
gfx90a [0x989f];3;5;5;16;30000;0;25;5;1;5;1;1;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;5;5;23;30000;0;30;5;1;3;5;0;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;5;6;5;30000;0;20;5;1;4;1;-1;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;5;6;6;30000;0;9;5;1;5;1;0;-1;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;5;7;5;30000;0;9;5;1;1;1;1;-1;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;5;7;7;30000;0;20;5;1;3;1;0;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;5;8;5;30000;0;12;5;1;5;1;-1;0;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;5;8;8;30000;0;20;5;1;5;1;1;0;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;5;9;5;30000;0;20;5;1;2;1;1;-2;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;5;9;9;30000;0;25;5;1;2;1;1;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;5;10;5;30000;0;20;5;1;4;1;-1;-1;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;5;10;10;30000;0;25;5;1;2;1;-1;0;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;5;11;5;30000;0;20;5;1;5;1;1;0;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;5;11;11;30000;0;25;5;1;3;1;-1;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;5;12;5;30000;0;20;5;1;4;1;-1;0;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;5;12;12;30000;0;25;5;1;5;1;0;-2;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;5;16;5;30000;0;20;5;1;4;1;-1;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;5;16;16;30000;0;26;5;1;4;1;0;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;5;23;5;30000;0;24;5;1;2;1;-2;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;5;23;23;30000;0;24;5;1;1;1;-2;-1;0;0;1;1;1;0;1;0;0
gfx90a [0x989f];3;6;3;3;30000;0;16;6;1;4;1;-2;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;6;3;6;30000;0;15;6;1;6;1;-1;0;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;6;4;4;30000;0;18;6;1;4;1;-1;-1;0;1;0;1;0;0;0;0;0
gfx90a [0x989f];3;6;4;6;30000;0;15;6;1;3;1;0;0;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;6;5;5;30000;0;12;6;1;2;1;1;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;6;5;6;30000;0;15;6;1;5;1;-1;0;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;6;6;3;30000;0;15;6;1;3;1;-1;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;6;6;4;30000;0;15;6;1;2;1;-1;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;6;6;5;30000;0;9;6;1;6;1;1;-1;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;6;6;6;30000;0;12;6;1;6;1;-2;-1;0;1;1;1;1;2;0;0;0
gfx90a [0x989f];3;6;6;7;30000;0;12;6;1;4;1;-1;-1;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;6;6;8;30000;0;20;6;1;4;1;-2;-2;0;1;0;1;0;2;0;0;0
gfx90a [0x989f];3;6;6;9;30000;0;20;6;1;6;1;0;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;6;6;10;30000;0;15;6;1;1;1;-2;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;6;6;11;30000;0;24;6;1;5;1;-1;0;1;0;1;1;1;2;2;0;0
gfx90a [0x989f];3;6;6;12;30000;0;20;6;1;6;1;-1;-2;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;6;6;16;30000;0;25;6;1;4;1;0;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;6;6;23;30000;0;15;6;1;1;1;0;-2;0;0;1;1;0;2;2;0;0
gfx90a [0x989f];3;6;7;6;30000;0;15;6;1;3;1;1;0;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;6;7;7;30000;0;15;6;1;4;1;1;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;6;8;6;30000;0;15;6;1;5;1;-1;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;6;8;8;30000;0;20;6;1;5;1;-2;0;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;6;9;6;30000;0;15;6;1;4;1;-2;0;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;6;9;9;30000;0;9;6;1;1;1;-1;-1;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;6;10;6;30000;0;15;6;1;4;1;-2;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;6;10;10;30000;0;25;6;1;1;1;0;-1;0;1;1;1;1;0;0;0;0
gfx90a [0x989f];3;6;11;6;30000;0;15;6;1;2;1;-1;0;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;6;11;11;30000;0;25;6;1;1;1;-2;-2;0;1;1;1;1;2;0;0;0
gfx90a [0x989f];3;6;12;6;30000;0;15;6;1;6;1;-2;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;6;12;12;30000;0;24;6;1;2;1;-2;-1;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;6;16;6;30000;0;20;6;1;6;1;1;-1;1;1;0;1;1;0;0;0;0
gfx90a [0x989f];3;6;16;16;30000;0;26;6;1;1;1;0;0;1;1;0;1;1;2;2;1;0
gfx90a [0x989f];3;6;23;6;30000;0;24;6;1;6;1;1;0;1;0;1;1;1;0;0;0;0
gfx90a [0x989f];3;6;23;23;30000;0;24;6;1;5;1;0;-2;0;0;0;1;0;2;1;0;0
gfx90a [0x989f];3;7;3;3;30000;0;15;7;1;2;1;-1;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;7;3;7;30000;0;12;7;1;4;1;-2;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;7;4;4;30000;0;15;7;1;3;1;0;-2;0;1;1;1;0;0;2;0;0
gfx90a [0x989f];3;7;4;7;30000;0;12;7;1;2;1;0;0;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;7;5;5;30000;0;12;7;1;3;1;-1;1;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;7;5;7;30000;0;12;7;1;3;1;1;0;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;7;6;6;30000;0;12;7;1;3;1;-1;1;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;7;6;7;30000;0;12;7;1;2;1;0;-2;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;7;7;3;30000;0;15;7;1;4;1;0;-1;0;1;0;1;0;0;2;0;0
gfx90a [0x989f];3;7;7;4;30000;0;18;7;1;3;1;1;1;0;0;0;1;1;2;2;0;0
gfx90a [0x989f];3;7;7;5;30000;0;12;7;1;6;1;1;-2;0;1;1;1;0;2;0;0;0
gfx90a [0x989f];3;7;7;6;30000;0;15;7;1;6;1;-1;0;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;7;7;7;30000;0;12;7;1;2;1;1;0;0;1;0;1;1;0;0;0;0
gfx90a [0x989f];3;7;7;8;30000;0;13;7;1;6;1;-1;-2;1;1;1;1;1;0;0;0;0
gfx90a [0x989f];3;7;7;9;30000;0;15;7;1;1;1;-2;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;7;7;10;30000;0;15;7;1;7;1;-1;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;7;7;11;30000;0;15;7;1;1;1;-1;-2;0;0;1;1;1;2;2;0;0
gfx90a [0x989f];3;7;7;12;30000;0;12;7;1;1;1;1;-2;1;1;1;1;1;2;2;1;0
gfx90a [0x989f];3;7;7;16;30000;0;15;7;1;1;1;-1;-2;1;1;0;1;1;2;1;0;0
gfx90a [0x989f];3;7;7;23;30000;0;12;7;1;1;7;-2;0;0;0;1;1;1;2;1;0;0
gfx90a [0x989f];3;7;8;7;30000;0;15;7;1;3;1;-2;1;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;7;8;8;30000;0;20;7;1;7;1;-1;-1;0;1;0;1;1;0;2;1;0
gfx90a [0x989f];3;7;9;7;30000;0;20;7;1;6;1;-2;0;0;1;1;1;1;2;0;1;0
gfx90a [0x989f];3;7;9;9;30000;0;15;7;1;1;1;1;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;7;10;7;30000;0;20;7;1;4;1;1;0;0;1;0;1;1;2;0;0;0
gfx90a [0x989f];3;7;10;10;30000;0;15;7;1;1;1;-2;0;1;0;0;1;0;2;2;1;0
gfx90a [0x989f];3;7;11;7;30000;0;20;7;1;6;1;-2;0;0;1;0;1;1;2;2;0;0
gfx90a [0x989f];3;7;11;11;30000;0;15;7;1;1;1;1;-2;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;7;12;7;30000;0;24;7;1;2;1;1;-1;1;0;0;1;1;0;0;0;0
gfx90a [0x989f];3;7;12;12;30000;0;13;7;1;7;1;0;-2;0;0;0;1;0;0;0;0;0
