DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA H100 PCIe [0xa32d];3;5;9;5;30000;0;11;5;1;5;0;-1;-2;1;0;0;1;0;3;0;0
NVIDIA H100 PCIe [0xa32d];3;5;9;7;30000;0;15;5;1;1;0;1;-1;0;0;1;1;0;0;3;0
NVIDIA H100 PCIe [0xa32d];3;5;9;9;30000;0;10;5;1;2;0;0;0;0;0;1;1;1;2;3;0
NVIDIA H100 PCIe [0xa32d];3;5;13;4;30000;0;14;5;1;2;0;-1;0;0;0;0;1;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;13;5;30000;0;15;5;1;3;0;0;-1;1;0;1;1;0;3;0;0
NVIDIA H100 PCIe [0xa32d];3;5;13;7;30000;0;11;5;1;3;0;1;0;1;0;0;1;1;0;3;0
NVIDIA H100 PCIe [0xa32d];3;5;13;13;30000;0;6;5;1;2;0;-2;0;0;0;0;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;13;17;30000;0;6;5;1;5;0;-2;0;0;0;0;1;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;13;32;30000;0;3;5;1;3;0;-2;0;0;0;0;1;0;2;3;0
NVIDIA H100 PCIe [0xa32d];3;5;17;4;30000;0;17;5;1;4;0;0;-2;1;0;0;1;0;3;3;0
NVIDIA H100 PCIe [0xa32d];3;5;17;5;30000;0;16;5;1;4;0;-2;0;0;0;1;1;0;3;0;0
NVIDIA H100 PCIe [0xa32d];3;5;17;13;30000;0;6;5;1;2;0;0;2;1;0;0;1;1;2;3;0
NVIDIA H100 PCIe [0xa32d];3;5;17;17;30000;0;6;5;1;4;0;-1;0;0;0;0;1;1;2;3;0
NVIDIA H100 PCIe [0xa32d];3;5;17;32;30000;0;6;5;1;4;0;1;-2;0;0;0;1;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;25;4;30000;0;15;5;1;3;0;0;-1;1;0;1;1;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;32;4;30000;0;22;5;1;5;0;-2;-1;1;0;1;1;0;0;3;0
NVIDIA H100 PCIe [0xa32d];3;5;32;5;30000;0;16;5;1;4;0;-1;0;1;0;1;1;1;0;3;0
NVIDIA H100 PCIe [0xa32d];3;5;32;13;30000;0;11;5;1;4;0;1;0;0;0;0;1;0;1;3;0
